Boards,Valor
BOARD ASUS H81M-K  1150 ,"$198,000"
BOARD GIGABYTE H110M-H LGA 1151,"$240,000"
BOARD ASUS H110M-E LGA1151,"$240,000"
BOARD GIGABYTE B250M-DS3H,"$320,000"
BOARD MSI H270 PC MATE DDR4/HDMI/DVI/7Th & 6Th GENER 1151,"$395,000"
BOARD ASUS STRIX B250G GAMING DDR4/LGA 1151 7GEN,"$425,000"
BOARD GIGABITE Z270-HD3 LGA1151,"$512,000"
Procesadores Intel,Valor
INTEL CELERON G1820 2.7GHZ/2.0MB CAC. Socket 1150 4TA GEN,"$150,000"
INTEL CELERON G-3930 SOCKET 1151 ,"$173,000"
INTEL PENTIUM DUAL CORE G-4400 LGA1151,"$235,000"
INTEL CORE I3 4170 3.6GHZ/3.0MB CACHE Soket 1150 4TA GEN,"$432,000"
INTEL CORE i3-7100 7a Generacion,"$420,000"
INTEL CORE i 5-7400 3.0GHZ 3 megas cache 7a generacion,"$670,000"
INTEL CORE i7-7700/3.6 GHz 1151 7a Generacion,"$1,120,000"
INTEL CORE i7-7700K/4.5 GHz 1151 7a Generacion,"$1,268,000"
Board / Procesadores Amd,Valor
BOARD ASUS M5A78L-M PLUS AMD,"$245,000"
PROCESADOR AMD FX 6300 3.5 Ghz,"$338,000"
Board / Procesadores Amd Ryzen,Valor
BOARD MSI B350 GAMING PRO,"$347,000"
BOARD MSI B350 TOMAHWK,"$420,000"
BOARD MSI B350 TOMAHWK ARTIC,"$455,000"
BOARD MSI X370 GAMING PLUS,"$465,000"
BOARD MSI X370 GAMING PRO,"$554,000"
BOARD MSI X370  GAMING PRO CARBON,"$685,000"
BOARD ELITEGROUP A320,"$235,000"
BOOARD ASUS PRIME B350 PLUS,"$398,000"
BOARD ASUS PRIME X370A / LGA 1151,"$565,000"
PROCESADOR AMD RYZEN R5-1400 AM4 CORE4 3.2GHz,"$627,000"
PROCESADOR AMD RYZEN R5-1500X AM4 CORE4 3.5GHz,"$698,000"
PROCESADOR AMD RYZEN R5-1600 AM4 CORE6 3.2GHz,"$760,000"
PROCESADIR AMD RYZEN R7-1700 AM4 CORE8 3GHz ,"$1,135,000"
Disco duro PC,Valor
DISCO DE 1 TB SATA TOSHIBA (1 AÑO DE GARANTIA),"$198,000"
DISCO DE 2 TB SATA HITACHI ,"$195,000"
DISCO DE 2 TB SATA TOSHIBA (1 AÑO DE GARANTIA),"$310,000"
DISCO DE 2 TB SATA WESTER BLUE (1 AÑO DE GARANTIA),"$298,000"
DISCO DE 2 TB SATA WESTER PURPLE (1 AÑO DE GARANTIA),"$320,000"
DISCO DE 3 TB SATA TOSHIBA (1 AÑO DE GARANTIA),"$390,000"
DISCO DE 4 TB SATA WESTER PURPLE (1 AÑO DE GARANTIA),"$525,000"
DISCO DE 6 TB SATA WESTER PURPLE (1 AÑO DE GARANTIA),"$798,000"
Disco duro Portatil,Valor
DISCO DE 500GB SATA PARA PORTATIL,"$180,000"
DISCO DE 1.0TB SATA PARA PORTATIL,"$218,000"
Discos Solidos,Valor
DISCO SOLIDO DE 120GB ADATA,"$210,000"
DISCO SOLIDO DE 240GB ADATA,"$330,000"
DISCO SOLIDO DE 480GB ADATA,"$590,000"
DISCO SOLIDO DE 480GB KINSTONG,"$600,000"
DISCO SOLIDO DE 512GB ADATA,"$720,000"
Disco duro Externo,Valor
DISCO EXTERNO DE 1 TB 3.0 ANTIGOLPES ADATA ,"$240,000"
DISCO EXTERNO DE 1 TB 3.0 TOSHIBA,"$245,000"
DISCO EXTERNO DE 2 TB 3.0 TOSHIBA,"$315,000"
DISCO EXTERNO DE 2 TB 3.0 ANTIGOLPES 720,"$370,000"
